name	version	completed	beta	Level	LevelReq	code	type	transform	invtransform	transformcolor	NumMods	ItemMod1Code	ItemMod1Param	ItemMod1Min	ItemMod1Max	ItemMod2Code	ItemMod2Param	ItemMod2Min	ItemMod2Max	ItemMod3Code	ItemMod3Param	ItemMod3Min	ItemMod3Max	ItemMod4Code	ItemMod4Param	ItemMod4Min	ItemMod4Max	ItemMod5Code	ItemMod5Param	ItemMod5Min	ItemMod5Max	ItemMod6Code	ItemMod6Param	ItemMod6Min	ItemMod6Max	ItemMod7Code	ItemMod7Param	ItemMod7Min	ItemMod7Max	ItemMod8Code	ItemMod8Param	ItemMod8Min	ItemMod8Max	ItemMod9Code	ItemMod9Param	ItemMod9Min	ItemMod9Max	ItemMod10Code	ItemMod10Param	ItemMod10Min	ItemMod10Max
The Gnasher	0	1	1	0	0	hax	Hand Axe	1	0	14	10	att	0	30	30	openwounds	0	50	50	crush	0	20	20		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Deathspade	0	1	1	0	0	axe	Axe	1	0	16	10	stupidity	0	1	1	dmg-min	0	8	8	att%	0	15	15	mana-kill	0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Bladebone	0	1	1	0	0	2ax	Double Axe	1	1	1	10	dmg-undead	0	100	100	att-undead	0	40	40	swing2	0	20	20	ac	0	20	20	fire-min	0	4	4	fire-max	0	7	7																0
Mindrend	0	1	1	0	0	mpi	Military Pick	1	0	10	10	stupidity	0	60	60	regen-mana	0	20	20	ltng-min	0	1	1	ltng-max	0	12	12	att	0	50	50																				0
Rakescar	0	1	1	0	0	wax	War Axe	1	1	2	10	pois-min	0	64	64	pois-max	0	96	96	pois-len	0	75	75	att	0	50	50	res-pois	0	50	50																				0
Fechmars Axe	0	1	1	0	0	lax	Large Axe	1	1	17	10	dmg%	0	50	50	freeze	0	1	1	res-cold	0	30	30	light	0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Goreshovel	0	1	1	0	0	bax	Broad Axe	1	1	18	10	swing3	0	30	30	str	0	25	25	openwounds	0	60	60		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Chieftan	0	1	1	0	0	btx	Battle Axe	1	0	19	10	dmg%	0	100	100	res-all	0	10	10	res-pois	0	20	20	swing1	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Brainhew	0	1	1	0	0	gax	Great Axe	1	0	0	10	dmg-min	0	14	14	mana	0	25	25	light	0	4	4	manasteal	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Humongous	0	1	1	0	0	gix	Giant Axe	1	1	3	10	str	0	10	10	dmg-min	0	8	8	dmg-max	0	15	15	crush	0	33	33	ease	0	20	20																				0
Iros Torch	0	1	1	0	0	wnd	Wand	1	0	9	10	nec	0	1	1	lifesteal	0	6	6	fire-min	0	5	5	fire-max	0	9	9		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Maelstromwrath	0	1	1	0	0	ywn	Yew Wand	1	1	5	10	ltng-min	0	1	1	ltng-max	0	9	9	res-ltng	0	40	40		0	1	1	cast3	0	20	20	mana	0	13	13																0
Gravenspine	0	1	1	0	0	bwn	Bone Wand	1	0	12	10	str	0	10	10	dex	0	10	10	cold-min	0	4	4	cold-max	0	8	8	cold-len	0	75	75	manasteal	0	5	5																0
Umes Lament	0	1	1	0	0	gwn	Grim Wand	1	1	4	10	nec	0	2	2	mana	0	40	40	cast3	0	20	20	howl	0	64	64																								0
Felloak	0	1	1	0	0	clb	Club	1	0	1	10	res-ltng	0	60	60	res-fire	0	20	20	knock	0	1	1	fire-min	0	6	6	fire-max	0	8	8		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Knell Striker	0	1	1	0	0	scp	Scepter	1	1	8	10	crush	0	25	25	res-fire	0	20	20	res-pois	0	20	20	mana	0	15	15	att	0	35	35		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Rusthandle	0	1	1	0	0	gsc	Grand Scepter	1	1	15	10	pal	0	1	1	dmg-min	0	3	3	dmg-max	0	7	7	red-mag	0	1	1	lifesteal	0	8	8																				0
Stormeye	0	1	1	0	0	wsp	War Scepter	1	1	9	10	ltng-min	0	1	1	ltng-max	0	6	6	cold-min	0	3	3	cold-max	0	5	5	cold-len	0	75	75	regen	0	10	10																0
Stoutnail	0	1	1	0	0	spc	Spiked Club	1	0	2	10	thorns	0	1	10	dmg%	0	100	100	hp	0	15	15	red-mag	0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Crushflange	0	1	1	0	0	mac	Mace	1	1	3	10	str	0	15	15	knock	0	1	1	light	0	2	2	res-fire	0	50	50		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Bloodrise	0	1	1	0	0	mst	Morning Star	1	0	4	10	dmg%	0	100	100	att%	0	50	50	bloody	0	3	5	light	0	2	2	swing1	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Generals Tan Do Li Ga	0	1	1	0	0	fla	Flail	1	1	5	10	dmg-min	0	1	1	dmg-max	0	20	20	slow	0	50	50	ac	0	25	25	manasteal	0	5	5		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
