String	Index
Auburnfire	Auburnfire
Gangrene Reaper	Gangrene Reaper
Easebringer	Easebringer
Goreflood	Goreflood
Deathspade	Deathspade
Longsuffering	Longsuffering
Lungreaver	Lungreaver
Bladebone	Bladebone
Broken Earth	Broken Earth
Occam's Razor	Occam's Razor
Mindrend	Mindrend
Shadazar's Answer	Shadazar's Answer
Deathflake	Deathflake
Rakescar	Rakescar
Bloody Scalp	Bloody Scalp
Pure Rancor	Pure Rancor
Coldkill	Coldkill
Slayer of Trents	Slayer of Trents
Edge of Forever	Edge of Forever
Butcher's Pupil	Butcher's Pupil
Cryohydra	Cryohydra
Harvest of Souls	Harvest of Souls
Islestrike	Islestrike
Cornugon	Cornugon
Groundshatter	Groundshatter
Pompe's Wrath	Pompe's Wrath
Couatl	Couatl
Antics of the Jester	Antics of the Jester
Guardian Naga	Guardian Naga
Marilith	Marilith
Razoredge	Razoredge
Death Slaad	Death Slaad
Moon Blade	Moon Blade
Beholder	Beholder
Runemaster	Runemaster
Elder Tojanida	Elder Tojanida
Cranebeak	Cranebeak
Frostwyrm	Frostwyrm
Deathcleaver	Deathcleaver
Light Phasm	Light Phasm
Gracehunter	Gracehunter
Fechmars Axe	Fechmars Axe
Night Hag	Night Hag
Mirth Bringer	Mirth Bringer
Goreshovel	Goreshovel
Tendriculos	Tendriculos
Sandking	Sandking
The Chieftan	The Chieftan
Winter Wolf	Winter Wolf
Nova Spine	Nova Spine
Brainhew	Brainhew
Taskmaster's Curse	Taskmaster's Curse
Curseweaver	Curseweaver
The Humongous	The Humongous
Sunblighter	Sunblighter
Threat of Storms	Threat of Storms
Warlord's Trust	Warlord's Trust
Dwarven Honor	Dwarven Honor
Grandiose Dreams	Grandiose Dreams
Spellsteel	Spellsteel
Ravid's Bite	Ravid's Bite
Spirit Naga	Spirit Naga
Stormrider	Stormrider
Brittlequick	Brittlequick
Tonstrike	Tonstrike
Boneslayer Blade	Boneslayer Blade
Ogre's Breath	Ogre's Breath
Mythslayer	Mythslayer
The Minataur	The Minataur
Woodland Beast	Woodland Beast
Werewolf Slayer	Werewolf Slayer
Shapeshifter	Shapeshifter
Ethereal Edge	Ethereal Edge
Dyer's Eve	Dyer's Eve
Hellslayer	Hellslayer
Hero's Welcome	Hero's Welcome
Messerschmidt's Reaver	Messerschmidt's Reaver
Nameless Horror	Nameless Horror
Executioner's Justice	Executioner's Justice
Epee of Speed	Epee of Speed
Deviljack	Deviljack
Rixots Keen	Rixots Keen
Anadek's Sword	Anadek's Sword
Briarblade	Briarblade
Blood Crescent	Blood Crescent
Sajorn Jinx	Sajorn Jinx
Chromablade	Chromablade
Krintizs Skewer	Krintizs Skewer
Qikadar's Laughter	Qikadar's Laughter
Fiendslayer	Fiendslayer
Gleamscythe	Gleamscythe
Quartz Star	Quartz Star
Irksome Edge	Irksome Edge
Azurewrath1	Azurewrath1
Omni-Slash	Omni-Slash
Vanquisher	Vanquisher
Griswolds Edge	Griswolds Edge
Honor Guard	Honor Guard
Winterswipe	Winterswipe
Hellplague	Hellplague
Orc Slayer	Orc Slayer
Warrior Untamed	Warrior Untamed
Culwens Point	Culwens Point
Bridge of Pain	Bridge of Pain
Cursebreaker	Cursebreaker
Bloodletter	Bloodletter
Darkkon	Darkkon
Deathfoe	Deathfoe
Coldsteel Eye	Coldsteel Eye
Locathah	Locathah
Death of a Thousand Cuts	Death of a Thousand Cuts
Hexfire	Hexfire
Fleshbleeder	Fleshbleeder
Song of the Damned	Song of the Damned
Blade of Ali Baba	Blade of Ali Baba
Pseudodragon	Pseudodragon
Serpent’s Sharp	Serpent’s Sharp
Ginther's Rift	Ginther's Rift
Grimlock	Grimlock
Dread of the Blade	Dread of the Blade
Headstriker	Headstriker
Troglodyte	Troglodyte
Bane of All Gods	Bane of All Gods
Plague Bearer	Plague Bearer
Sahuagin	Sahuagin
Dark Descent	Dark Descent
The Atlantian	The Atlantian
Celestial Lion	Celestial Lion
Rabbit Slayer	Rabbit Slayer
Badger's Bite	Badger's Bite
Djinnslayer	Djinnslayer
Wight's Touch	Wight's Touch
Bloodmoon	Bloodmoon
Megladon's Bite	Megladon's Bite
Krakken	Krakken
Lightsabre	Lightsabre
Azurewrath	Azurewrath
Deathfriend	Deathfriend
King's Bounty	King's Bounty
Rhinoceros Strength	Rhinoceros Strength
Frostwind	Frostwind
Owlbear's Attack	Owlbear's Attack
Call Of Heroes	Call Of Heroes
Cloaker Beast	Cloaker Beast
Deathlust	Deathlust
Shadowfang	Shadowfang
Blink Dog	Blink Dog
Coaldark	Coaldark
Soulflay	Soulflay
Ettercap	Ettercap
Hellmessenger	Hellmessenger
Kinemils Awl	Kinemils Awl
Yuan-Ti's Venom	Yuan-Ti's Venom
Oldfather	Oldfather
Blacktongue	Blacktongue
Gharbad's Cry	Gharbad's Cry
Warrior's Challenge	Warrior's Challenge
Ripsaw	Ripsaw
Demolisher	Demolisher
Arctic Edge	Arctic Edge
The Patriarch	The Patriarch
Celestial Tiger	Celestial Tiger
Sweet Agony	Sweet Agony
Crainte Vomir	Crainte Vomir
Shirotachi	Shirotachi
Sudden Epiphany	Sudden Epiphany
Bing Sz Wang	Bing Sz Wang
Thunderclap	Thunderclap
The Mangler	The Mangler
The Vile Husk	The Vile Husk
Na-Krul's Power	Na-Krul's Power
No Quarter Given	No Quarter Given
Cloudcrack	Cloudcrack
Black Razor	Black Razor
Demand for Justice	Demand for Justice
Todesfaelle Flamme	Todesfaelle Flamme
Thundercall	Thundercall
The Quick and the Dead	The Quick and the Dead
Swordguard	Swordguard
Dragon's Breach	Dragon's Breach
Blade Of Mythos	Blade Of Mythos
Blade of Conan	Blade of Conan
Vorpal Blade	Vorpal Blade
Split Skull	Split Skull
Flamebellow	Flamebellow
Deadly Hunter	Deadly Hunter
Doombringer	Doombringer
Nightscape	Nightscape
Holy Avenger	Holy Avenger
Grandmaster's Glory	Grandmaster's Glory
The Grandfather	The Grandfather
Bramble Oak	Bramble Oak
