name	numboxes	boxwidth	boxheight	box1left	box1right	box1top	box1bottom	box2left	box2right	box2top	box2bottom	box3left	box3right	box3top	box3bottom	box4left	box4right	box4top	box4bottom	box5left	box5right	box5top	box5bottom	box6left	box6right	box6top	box6bottom	box7left	box7right	box7top	box7bottom	box8left	box8right	box8top	box8bottom	box9left	box9right	box9top	box9bottom	box10left	box10right	box10top	box10bottom	box11left	box11right	box11top	box11bottom	box12left	box12right	box12top	box12bottom	box13left	box13right	box13top	box13bottom	box14left	box14right	box14top	box14bottom	box15left	box15right	box15top	box15bottom	box16left	box16right	box16top	box16bottom
belt	12	30	31	534	563	729	759	565	594	729	759	596	625	729	759	627	656	729	759	534	563	696	725	565	594	696	725	596	625	696	725	627	656	696	725	534	563	664	694	565	594	664	694	596	625	664	694	627	656	664	694																
sash	8	30	31	534	563	729	759	565	594	729	759	596	625	729	759	627	656	729	759	534	563	696	725	565	594	696	725	596	625	696	725	627	656	696	725																																
default	4	30	31	534	563	729	759	565	594	729	759	596	625	729	759	627	656	729	759																																																
girdle	16	30	31	534	563	729	759	565	594	729	759	596	625	729	759	627	656	729	759	534	563	696	725	565	594	696	725	596	625	696	725	627	656	696	725	534	563	664	694	565	594	664	694	596	625	664	694	627	656	664	694	534	563	632	662	565	594	632	662	596	625	632	662	627	656	632	662
light belt	8	30	31	534	563	729	759	565	594	729	759	596	625	729	759	627	656	729	759	534	563	696	725	565	594	696	725	596	625	696	725	627	656	696	725																																
heavy belt	12	30	31	534	563	729	759	565	594	729	759	596	625	729	759	627	656	729	759	534	563	696	725	565	594	696	725	596	625	696	725	627	656	696	725	534	563	664	694	565	594	664	694	596	625	664	694	627	656	664	694																
uber belt	16	30	31	534	563	729	759	565	594	729	759	596	625	729	759	627	656	729	759	534	563	696	725	565	594	696	725	596	625	696	725	627	656	696	725	534	563	664	694	565	594	664	694	596	625	664	694	627	656	664	694	534	563	632	662	565	594	632	662	596	625	632	662	627	656	632	662
Expansion																																																																			
belt2	12	30	31	662	691	730	760	693	722	730	760	724	753	730	760	755	784	730	760	662	691	697	727	693	722	697	727	724	753	697	727	755	784	697	727	662	691	665	695	693	722	665	695	724	753	665	695	755	784	665	695																
sash2	8	30	31	662	691	730	760	693	722	730	760	724	753	730	760	755	784	730	760	662	691	697	727	693	722	697	727	724	753	697	727	755	784	697	727																																
default2	4	30	31	662	691	730	760	693	722	730	760	724	753	730	760	755	784	730	760																																																
girdle2	16	30	31	662	691	730	760	693	722	730	760	724	753	730	760	755	784	730	760	662	691	697	727	693	722	697	727	724	753	697	727	755	784	697	727	662	691	665	695	693	722	665	695	724	753	665	695	755	784	665	695	662	691	633	663	693	722	633	663	724	753	633	663	755	784	633	663
light belt2	8	30	31	662	691	730	760	693	722	730	760	724	753	730	760	755	784	730	760	662	691	697	727	693	722	697	727	724	753	697	727	755	784	697	727																																
heavy belt2	12	30	31	662	691	730	760	693	722	730	760	724	753	730	760	755	784	730	760	662	691	697	727	693	722	697	727	724	753	697	727	755	784	697	727	662	691	665	695	693	722	665	695	724	753	665	695	755	784	665	695																
uber belt	16	30	31	662	691	730	760	693	722	730	760	724	753	730	760	755	784	730	760	662	691	697	727	693	722	697	727	724	753	697	727	755	784	697	727	662	691	665	695	693	722	665	695	724	753	665	695	755	784	665	695	662	691	633	663	693	722	633	663	724	753	633	663	755	784	633	663
