description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Staff of Kings + Viper amulet -> Horadric Staff	1			100	28				2	hpot	mpot						hst																																																																																							0
Khalim Flail + Khalim Heart + Khalim Eye + Khalim Brain -> Super Khalim Flail	1			100	28				3	hpot	mpot	any					qf2																																																																																							0
Wirt's leg -> portal to cow lvl	1			100	28				1	leg							Cow Portal																																																																																							0
3 small rejuvs -> one large	1			100					3	rvs,qty=3							rvl																																																																																							0
3 chipped amethysts -> flawed amethyst	1			100					3	gcv,qty=3							gfv																																																																																							0
3 flawed amethysts -> standard amethyst	1			100					3	gfv,qty=3							gsv																																																																																							0
3 standard amethysts -> flawless amethyst	1			100					3	gsv,qty=3							gzv																																																																																							0
3 flawless amethysts -> perfect amethyst	1			100					3	gzv,qty=3							gpv																																																																																							0
3 chipped rubies -> flawed ruby	1			100					3	gcr,qty=3							gfr																																																																																							0
3 flawed rubies -> standard ruby	1			100					3	gfr,qty=3							gsr																																																																																							0
3 standard rubies -> flawless ruby	1			100					3	gsr,qty=3							glr																																																																																							0
3 flawless rubies -> perfect ruby	1			100					3	glr,qty=3							gpr																																																																																							0
3 chipped sapphires -> flawed sapphire	1			100					3	gcb,qty=3							gfb																																																																																							0
3 flawed sapphires -> standard sapphire	1			100					3	gfb,qty=3							gsb																																																																																							0
3 standard sapphires -> flawless sapphire	1			100					3	gsb,qty=3							glb																																																																																							0
3 flawless sapphires -> perfect sapphire	1			100					3	glb,qty=3							gpb																																																																																							0
3 chipped topazes -> flawed topaz	1			100					3	gcy,qty=3							gfy																																																																																							0
3 flawed topazes -> standard topaz	1			100					3	gfy,qty=3							gsy																																																																																							0
3 standard topazes -> flawless topaz	1			100					3	gsy,qty=3							gly																																																																																							0
3 flawless topazes -> perfect topaz	1			100					3	gly,qty=3							gpy																																																																																							0
3 chipped emeralds -> flawed emerald	1			100					3	gcg,qty=3							gfg																																																																																							0
3 flawed emeralds -> standard emerald	1			100					3	gfg,qty=3							gsg																																																																																							0
3 standard emeralds -> flawless emerald	1			100					3	gsg,qty=3							glg																																																																																							0
3 flawless emeralds -> perfect emerald	1			100					3	glg,qty=3							gpg																																																																																							0
3 chipped diamonds -> flawed diamond	1			100					3	gcw,qty=3							gfw																																																																																							0
3 flawed diamonds -> standard diamond	1			100					3	gfw,qty=3							gsw																																																																																							0
3 standard diamonds -> flawless diamond	1			100					3	gsw,qty=3							glw																																																																																							0
3 flawless diamonds -> perfect diamond	1			100					3	glw,qty=3							gpw																																																																																							0
3 chipped skulls -> flawed skull	1			100					3	skc,qty=3							skf																																																																																							0
3 flawed skulls -> standard skull	1			100					3	skf,qty=3							sku																																																																																							0
3 standard skulls -> flawless skull	1			100					3	sku,qty=3							skl																																																																																							0
3 flawless skulls -> perfect skull	1			100					3	skl,qty=3							skz																																																																																							0
3 chipped ambers -> flawed amber	1			100					3	gco,qty=3							gfo																																																																																							0
3 flawed ambers -> standard amber	1			100					3	gfo,qty=3							gso																																																																																							0
3 standard ambers -> flawless amber	1			100					3	gso,qty=3							glo																																																																																							0
3 flawless ambers -> perfect amber	1			100					3	glo,qty=3							gpo																																																																																							0
3 chipped obsidians -> flawed obsidian	1			100					3	gcd,qty=3							gfd																																																																																							0
3 flawed obsidians -> standard obsidian	1			100					3	gfd,qty=3							gzd																																																																																							0
3 standard obsidians -> flawless obsidian	1			100					3	gzd,qty=3							gbd																																																																																							0
3 flawless obsidians -> perfect obsidian	1			100					3	gbd,qty=3							gpd																																																																																							0
3 chipped aquamarines -> flawed aquamarines	1			100					3	gcq,qty=3							gfq																																																																																							0
3 flawed aquamarines -> standard aquamarines	1			100					3	gfq,qty=3							gaq																																																																																							0
3 standard aquamarines -> flawless aquamarines	1			100					3	gaq,qty=3							gxq																																																																																							0
3 flawless aquamarines -> perfect aquamarines	1			100					3	gxq,qty=3							gpq																																																																																							0
3 rune 01 -> rune 02	1			100					3	r01,qty=3							r02																																																																																							0
3 rune 02 -> rune 03	1			100					3	r02,qty=3							r03																																																																																							0
