Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	250	250	250	250	250	250	250	15
0	0	0	0	0	0	0	0	32768
1	257	257	257	257	257	257	257	32768
2	529	529	529	529	529	529	529	32768
3	857	857	857	857	857	857	857	32768
4	1305	1305	1305	1305	1305	1305	1305	32768
5	1967	1967	1967	1967	1967	1967	1967	32768
6	2960	2960	2960	2960	2960	2960	2960	32768
7	4431	4431	4431	4431	4431	4431	4431	32768
8	6551	6551	6551	6551	6551	6551	6551	32768
9	9517	9517	9517	9517	9517	9517	9517	32768
10	13555	13555	13555	13555	13555	13555	13555	32768
11	18913	18913	18913	18913	18913	18913	18913	32768
12	25871	25871	25871	25871	25871	25871	25871	32768
13	34731	34731	34731	34731	34731	34731	34731	32768
14	45822	45822	45822	45822	45822	45822	45822	32768
15	59502	59502	59502	59502	59502	59502	59502	32768
16	76153	76153	76153	76153	76153	76153	76153	32768
17	96184	96184	96184	96184	96184	96184	96184	32768
18	120030	120030	120030	120030	120030	120030	120030	32768
19	148153	148153	148153	148153	148153	148153	148153	32768
20	181041	181041	181041	181041	181041	181041	181041	32768
21	219209	219209	219209	219209	219209	219209	219209	32768
22	263198	263198	263198	263198	263198	263198	263198	32768
23	313576	313576	313576	313576	313576	313576	313576	32768
24	370935	370935	370935	370935	370935	370935	370935	32768
25	435896	435896	435896	435896	435896	435896	435896	32768
26	509105	509105	509105	509105	509105	509105	509105	32768
27	591236	591236	591236	591236	591236	591236	591236	32768
28	682988	682988	682988	682988	682988	682988	682988	32768
29	785086	785086	785086	785086	785086	785086	785086	32768
30	898282	898282	898282	898282	898282	898282	898282	32768
31	1023356	1023356	1023356	1023356	1023356	1023356	1023356	32768
32	1161111	1161111	1161111	1161111	1161111	1161111	1161111	32768
33	1312379	1312379	1312379	1312379	1312379	1312379	1312379	32768
34	1478017	1478017	1478017	1478017	1478017	1478017	1478017	32768
35	1658911	1658911	1658911	1658911	1658911	1658911	1658911	32768
36	1855969	1855969	1855969	1855969	1855969	1855969	1855969	32768
37	2070129	2070129	2070129	2070129	2070129	2070129	2070129	32768
38	2302354	2302354	2302354	2302354	2302354	2302354	2302354	32768
39	2553633	2553633	2553633	2553633	2553633	2553633	2553633	32768
40	2824983	2824983	2824983	2824983	2824983	2824983	2824983	32768
41	3117445	3117445	3117445	3117445	3117445	3117445	3117445	32768
42	3432089	3432089	3432089	3432089	3432089	3432089	3432089	32768
43	3770009	3770009	3770009	3770009	3770009	3770009	3770009	32768
44	4132328	4132328	4132328	4132328	4132328	4132328	4132328	32768
45	4520192	4520192	4520192	4520192	4520192	4520192	4520192	32768
46	4934777	4934777	4934777	4934777	4934777	4934777	4934777	32768
47	5377282	5377282	5377282	5377282	5377282	5377282	5377282	32768
48	5848936	5848936	5848936	5848936	5848936	5848936	5848936	32768
49	6350991	6350991	6350991	6350991	6350991	6350991	6350991	32768
50	6884727	6884727	6884727	6884727	6884727	6884727	6884727	32768
51	7451450	7451450	7451450	7451450	7451450	7451450	7451450	32768
52	8052493	8052493	8052493	8052493	8052493	8052493	8052493	32768
53	8689216	8689216	8689216	8689216	8689216	8689216	8689216	32768
54	9363002	9363002	9363002	9363002	9363002	9363002	9363002	32768
55	10075265	10075265	10075265	10075265	10075265	10075265	10075265	32768
56	10827442	10827442	10827442	10827442	10827442	10827442	10827442	32768
57	11620998	11620998	11620998	11620998	11620998	11620998	11620998	32768
58	12457423	12457423	12457423	12457423	12457423	12457423	12457423	32768
59	13338236	13338236	13338236	13338236	13338236	13338236	13338236	32768
60	14264979	14264979	14264979	14264979	14264979	14264979	14264979	32768
61	15239223	15239223	15239223	15239223	15239223	15239223	15239223	32768
62	16262565	16262565	16262565	16262565	16262565	16262565	16262565	32768
63	17336626	17336626	17336626	17336626	17336626	17336626	17336626	32768
64	18463057	18463057	18463057	18463057	18463057	18463057	18463057	32768
65	19643533	19643533	19643533	19643533	19643533	19643533	19643533	32768
66	20879756	20879756	20879756	20879756	20879756	20879756	20879756	32768
67	22173455	22173455	22173455	22173455	22173455	22173455	22173455	32768
68	23526384	23526384	23526384	23526384	23526384	23526384	23526384	32768
69	24940324	24940324	24940324	24940324	24940324	24940324	24940324	32768
70	26417084	26417084	26417084	26417084	26417084	26417084	26417084	32768
71	27958496	27958496	27958496	27958496	27958496	27958496	27958496	32768
