name	code
amulet	amu
ring	rin
Jewel	jew
Hand Axe	hax
Axe	axe
Double Axe	2ax
Military Pick	mpi
War Axe	wax
Large Axe	lax
Broad Axe 	bax
Battle Axe	btx
Great Axe	gax
Giant Axe	gix
Club	clb
Spiked Club	spc
Mace	mac
Morning Star	mst
Flail	fla
War Hammer	whm
Maul	mau
Great Maul	gma
Short Sword	ssd
Scimitar	scm
Saber	sbr
Falchion	flc
Crystal Sword	crs
Broad Sword	bsd
Long Sword 	lsd
War Sword	wsd
Two-Handed Sword	2hs
Claymore	clm
Giant Sword	gis
Bastard Sword	bsw
Flamberge	flb
Great Sword	gsd
Dagger	dgr
Dirk	dir
Kriss	kri
Blade	bld
Spear	spr
Trident	tri
Brandistock	brn
Spetum	spt
Pike	pik
Bardiche	bar
Voulge	vou
Scythe	scy
Poleaxe	pax
Halberd	hal
War Scythe	wsc
Short Bow	sbw
Hunter's Bow	hbw
Long Bow	lbw
Composite Bow	cbw
Short Battle Bow	sbb
Long Battle Bow	lbb
Short War Bow	swb
Long War Bow	lwb
Light Crossbow	lxb
Crossbow	mxb
Heavy Crossbow	hxb
Repeating Crossbow	rxb
Cap/hat	cap
Skull Cap	skp
Helm	hlm
Full Helm	fhl
Great Helm	ghm
Crown	crn
Mask	msk
Quilted Armor	qui
Leather Armor	lea
Hard Leather Armor	hla
Studded Leather 	stu
Ring Mail	rng
Scale Mail	scl
Chain Mail	chn
Breast Plate	brs
Splint Mail	spl
Plate Mail	plt
Field Plate	fld
Gothic Plate	gth
Full Plate Mail	ful
Ancient Armor	aar
Light Plate	ltp
Buckler	buc
Small Shield	sml
Large Shield	lrg
Kite Shield	kit
Tower Shield	tow
Gothic Shield	gts
Gloves(L)	lgl
Heavy Gloves	vgl
Bracers(M)	mgl
Light Gauntlets	tgl
Gaunlets(H)	hgl
Leather Boots	lbt
Heavy Boots	vbt
Chain Boots	mbt
Light Plate Boots	tbt
Plate Boots	hbt
Sash(L)	lbl
Light Belt	vbl
Belt(M)	mbl
Heavy Belt	tbl
Girdle(H)	hbl
Bone Helm	bhm
Bone Shield	bsh
Spiked Shield	spk
Expansion	
Throwing Knife	tkf
Throwing Axe	tax
Balanced Knife	bkf
Balanced Axe	bal
Javelin	jav
Pilum	pil
Short Spear	ssp
Glaive	glv
Throwing Spear	tsp
Katar	ktr
Wrist Blade	wrb
Axe Fist	axf
Cestus	ces
Claws	clw
Blade Talons	btl
Scissors Katar	skr
Circlet	ci0
Coronet	ci1
Tiara	ci2
Diadem	ci3
Shako	uap
Hydraskull	ukp
Armet	ulm
Giant Conch	uhl
Spired Helm	uhm
Corona	urn
Demonhead	usk
Dusk Shroud	uui
Wyrmhide	uea
Scarab Husk	ula
Wire Fleece	utu
Diamond Mail	ung
Loricated Mail	ucl
Boneweave	uhn
Great Hauberk	urs
Balrog Skin	upl
Hellforged Plate	ult
Kraken Shell	uld
Lacquered Plate	uth
Shadow Plate	uul
Sacred Armor	uar
Archon Plate	utp
Heater	uuc
Luna	uml
Hyperion	urg
Monarch	uit
Aegis	uow
Ward	uts
Bramble Mitts	ulg
Vampirebone Gloves	uvg
Vambraces	umg
Crusader Gauntlets	utg
Ogre Gauntlets	uhg
Wyrmhide Boots	ulb
Scarabshell Boots	uvb
Boneweave Boots	umb
Mirrored Boots	utb
Myrmidon Greaves	uhb
Spiderweb Sash	ulc
Vampirefang Belt	uvc
Mithril Coil	umc
Troll Belt	utc
Colossus Girdle	uhc
Bone Visage	uh9
Troll Nest	ush
Blade Barrier	upk
Alpha Helm	dr6
Griffon Headress	dr7
Hunter's Guise	dr8
Sacred Feathers	dr9
Totemic Mask	dra
Jawbone Visor	ba6
Lion Helm	ba7
Rage Mask	ba8
Savage Helmet	ba9
Slayer Guard	baa
Akaran Targe	pa6
Akaran Rondache	pa7
Protector Shield	pa8
Guilded Shield	pa9
Royal Shield	paa
Mummified Trophy	ne6
Fetish Trophy	ne7
Sexton Trophy	ne8
Cantor Trophy	ne9
Heirophant Trophy	nea
Blood Spirt	drb
Sun Spirit	drc
Earth Spirit	drd
Sky Spirit	dre
Dream Spirit	drf
Carnage Helm	bab
Fury Visor	bac
Destroyer Helm	bad
Conquerer Crown	bae
Guardian Crown	baf
Sacred Targe	pab
Sacred Rondache	pac
Ancient Shield	pad
Zakarum Shield	pae
Vortex Shield	paf
Minion Skull	neb
Hellspawn Skull	neg
Overseer Skull	ned
Succubae Skull	nee
Bloodlord Skull	nef
Katar	ktr
Wrist Blade	wrb
Hatchet Hands	axf
Cestus	ces
Claws	clw
Blade Talons	btl
Scissors Katar	skr
Quhab	9ar
Wrist Spike	9wb
Fascia	9xf
Hand Scythe	9cs
Greater Claws	9lw
Greater Talons	9tw
Scissors Quhab	9qr
Suwayyah	7ar
Wrist Sword	7wb
War Fist	7xf
Battle Cestus	7cs
Feral Claws	7lw
Runic Talons	7tw
Scissors Suwayyah	7qr
Tomahawk	7ha
Small Crescent	7ax
Ettin Axe	72a
War Spike	7mp
Berserker Axe	7wa
Feral Axe	7la
Silver Edged Axe	7ba
Decapitator	7bt
Champion Axe	7ga
Glorious Axe	7gi
Polished Wand	7wn
Ghost Wand	7yw
Lich Wand	7bw
Unearthed Wand	7gw
Truncheon	7cl
Mighty Scepter	7sc
Seraph Rod	7qs
Caduceus	7ws
Tyrant Club	7sp
Reinforced Mace	7ma
Devil Star	7mt
Scourge	7fl
Legendary Mallet	7wh
Ogre Maul	7m7
Thunder Maul	7gm
Falcata	7ss
Ataghan	7sm
Elegant Blade	7sb
Hydra Edge	7fc
Phase Blade	7cr
Conquest Sword	7bs
Cryptic Sword	7ls
Mythical Sword	7wd
Legend Sword	72h
Highland Blade	7cm
Balrog Blade	7gs
Champion Sword	7b7
Colossal Sword	7fb
Colossus Blade	7gd
Bone Knife	7dg
Mithral Point	7di
Fanged Knife	7kr
Legend Spike	7bl
Flying Knife	7tk
Flying Axe	7ta
Winged Knife	7bk
Winged Axe	7b8
Hyperion Javelin	7ja
Stygian Pilum	7pi
Balrog Spear	7s7
Ghost Glaive	7gl
Winged Harpoon	7ts
Hyperion Spear	7sr
Stygian Pike	7tr
Mancatcher	7br
Ghost Spear	7st
War Pike	7p7
Ogre Axe	7o7
Colossus Voulge	7vo
Thresher	7s8
Cryptic Axe	7pa
Great Poleaxe	7h7
Giant Thresher	7wc
Walking Stick	6ss
Stalagmite	6ls
Elder Staff	6cs
Shillelah	6bs
Archon Staff	6ws
Spider Bow	6sb
Blade Bow	6hb
Shadow Bow	6lb
Great Bow	6cb
Diamond Bow	6s7
Crusader Bow	6l7
Ward Bow	6sw
Hydra Bow	6lw
Pellet Bow	6lx
Gorgon Crossbow	6mx
Colossus Crossbow	6hx
Demon Crossbow	6rx
Eagle Orb	ob1
Sacred Globe	ob2
Smoked Sphere	ob3
Clasped Orb	ob4
Dragon Stone	ob5
Stag Bow	am1
Reflex Bow	am2
Maiden Spear	am3
Maiden Pike	am4
Maiden Javelin	am5
Glowing Orb	ob6
Crystalline Globe	ob7
Cloudy Sphere	ob8
Sparkling Ball	ob9
Swirling Crystal	oba
Ashwood Bow	am6
Ceremonial Bow	am7
Ceremonial Spear	am8
Ceremonial Pike	am9
Ceremonial Javelin	ama
Heavenly Stone	obb
Eldritch Orb	obc
Demon Heart	obd
Vortex Orb	obe
Dimensional Shard	obf
Matriarchal Bow	amb
Grand Matron Bow	amc
Matriarchal Spear	amd
Matriarchal Pike	ame
MatriarchalJavelin	amf
Small Charm	cm1
Large Charm	cm2
Grand Charm	cm3
