Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal	100	0	271	1	1	11	150	merc01	merc41	100	1	95	27	30	16	35	20	45	32	20	12		1	5	20	0	8	bow		fire	5	Fire Arrow	1	50	2	7	22	Immolation Arrow	4	70	2	7	10	Exploding Arrow	4	80	0	7	12	Inner Sight	4	10	2	5	0	Slow Missile	1	15	0	5	15	Avoid	1	0	0	7	6	2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	36	150	merc01	merc41	100	100	342	18	279	15	77	10	111	16	406	24	1	9	11	40	66	7	bow		fire	25	Dodge	1	0	0	20	6	Immolation Arrow	4	50	0	21	10	Exploding Arrow	4	50	0	25	12	Amplify Damage	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	20	6	2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	67	150	merc01	merc41	100	100	900	30	744	22	116	10	173	16	1150	36	2	25	27	60	121	5	bow		fire	25	Dodge	1	0	0	27	6	Immolation Arrow	4	50	0	35	10	Exploding Arrow	4	50	0	42	12	Amplify Damage	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	27	6	2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	36	150	merc01	merc41	6000	110	308	18	251	15	74	10	106	16	365	24	1	8	10	4	63	7	bow		fire	25	Dodge	1	0	0	20	6	Immolation Arrow	4	50	0	21	10	Exploding Arrow	4	50	0	25	12	Amplify Damage	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	20	6	2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	67	150	merc01	merc41	6000	110	866	30	716	22	113	10	168	16	1109	36	2	24	26	6	118	5	bow		fire	25	Dodge	1	0	0	27	6	Immolation Arrow	4	50	0	35	10	Exploding Arrow	4	50	0	42	12	Amplify Damage	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	27	6	2	1	2	0
Rogue Scout	Fire - Hell	100	4	271	1	3	67	150	merc01	merc41	12500	120	779	30	644	22	110	10	163	16	998	36	2	23	25	6	115	5	bow		fire	25	Dodge	1	0	0	27	6	Immolation Arrow	4	50	0	35	10	Exploding Arrow	4	50	0	42	12	Amplify Damage	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	27	6	2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	11	150	merc01	merc41	150	1	97	27	30	16	35	20	45	32	20	12	1	2	6	18	0	8	bow		cold	5	Cold Arrow	1	50	2	7	6	Freezing Arrow	4	70	2	7	10	Freezing Arrow	4	80	0	7	12	Inner Sight	4	10	2	5	0	Slow Missile	1	15	0	5	15	Dodge	1	0	0	7	6	2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	merc01	merc41	150	105	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		cold	25	Dodge	1	0	0	20	6	Freezing Arrow	4	50	0	18	10	Ice Arrow	4	50	0	28	18	Weaken	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	20	6	2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	67	150	merc01	merc41	150	105	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		cold	25	Dodge	1	0	0	27	6	Freezing Arrow	4	50	0	28	10	Ice Arrow	4	50	0	48	18	Weaken	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	27	6	2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	36	150	merc01	merc41	7500	115	308	18	251	15	74	10	106	16	365	24	1	8	10	4	63	7	bow		cold	25	Dodge	1	0	0	20	6	Freezing Arrow	4	50	0	18	10	Ice Arrow	4	50	0	28	18	Weaken	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	20	6	2	1	2	0
