class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Amazon	512	1024	0	720	15	13	552	987	279	709	29	29	882	937	110	223	54	113	670	724	110	191	54	81	603	657	110	223	54	113	742	796	110	164	54	54	830	853	140	163	23	23	845	868	110	133	23	23	814	837	110	133	23	23	670	724	200	223	54	23	814	868	170	224	54	54	742	796	170	224	54	54
Sorceress	512	1024	0	720	15	13	552	987	279	709	29	29	882	937	110	223	54	113	670	724	110	191	54	81	603	657	110	223	54	113	742	796	110	164	54	54	830	853	140	163	23	23	845	868	110	133	23	23	814	837	110	133	23	23	670	724	200	223	54	23	814	868	170	224	54	54	742	796	170	224	54	54
Necromancer	512	1024	0	720	15	13	552	987	279	709	29	29	882	937	110	223	54	113	670	724	110	191	54	81	603	657	110	223	54	113	742	796	110	164	54	54	830	853	140	163	23	23	845	868	110	133	23	23	814	837	110	133	23	23	670	724	200	223	54	23	814	868	170	224	54	54	742	796	170	224	54	54
Paladin	512	1024	0	720	15	13	552	987	279	709	29	29	882	937	110	223	54	113	670	724	110	191	54	81	603	657	110	223	54	113	742	796	110	164	54	54	830	853	140	163	23	23	845	868	110	133	23	23	814	837	110	133	23	23	670	724	200	223	54	23	814	868	170	224	54	54	742	796	170	224	54	54
Barbarian	512	1024	0	720	15	13	552	987	279	709	29	29	882	937	110	223	54	113	670	724	110	191	54	81	603	657	110	223	54	113	742	796	110	164	54	54	830	853	140	163	23	23	845	868	110	133	23	23	814	837	110	133	23	23	670	724	200	223	54	23	814	868	170	224	54	54	742	796	170	224	54	54
Monster	0	512	0	720	10	10	68	347	161	440	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Trade Page 1	0	512	0	360	15	7	39	473	75	278	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Trade Page 2	0	512	361	720	15	7	39	473	443	646	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Bank Page 1	0	321	220	442	6	4	74	244	273	386	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	512	0	720	10	8	113	400	140	371	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Guild Vault Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Trophy Case Page 1	0	321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Expansion																																																																								
Big Bank Page 1	0	512	0	720	16	16	25	489	125	589	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1		
Hireling	-1	-1	-1	-1	0	0	-1	-1	-1	-1	29	29	63	129	79	225	68	148	222	289	124	235	54	81	382	449	79	225	68	148	226	289	34	99	60	60	321	350	123	150	30	28	160	189	248	277	30	28	321	350	248	277	30	30	227	289	247	277	60	30	386	449	250	309	60	60	66	129	253	314	60	57
Druid	512	1024	0	720	15	13	552	987	279	709	29	29	882	937	110	223	54	113	670	724	110	191	54	81	603	657	110	223	54	113	742	796	110	164	54	54	830	853	140	163	23	23	845	868	110	133	23	23	814	837	110	133	23	23	670	724	200	223	54	23	814	868	170	224	54	54	742	796	170	224	54	54
Assassin	512	1024	0	720	15	13	552	987	279	709	29	29	882	937	110	223	54	113	670	724	110	191	54	81	603	657	110	223	54	113	742	796	110	164	54	54	830	853	140	163	23	23	845	868	110	133	23	23	814	837	110	133	23	23	670	724	200	223	54	23	814	868	170	224	54	54	742	796	170	224	54	54
Amazon2	641	1151	0	720	15	13	679	1113	279	654	29	29	1010	1064	111	224	54	113	798	852	111	192	54	81	731	785	111	224	54	113	870	924	111	164	54	54	958	981	141	164	23	23	973	996	111	134	23	23	942	965	110	133	23	23	798	852	202	224	54	23	942	996	171	224	54	54	870	924	171	224	54	54
Sorceress2	641	1151	0	720	15	13	679	1113	279	654	29	29	1010	1064	111	224	54	113	798	852	111	192	54	81	731	785	111	224	54	113	870	924	111	164	54	54	958	981	141	164	23	23	973	996	111	134	23	23	942	965	110	133	23	23	798	852	202	224	54	23	942	996	171	225	54	54	870	924	171	224	54	54
Necromancer2	641	1151	0	720	15	13	679	1113	279	654	29	29	1010	1064	111	224	54	113	798	852	111	192	54	81	731	785	111	224	54	113	870	924	111	164	54	54	958	981	141	164	23	23	973	996	111	134	23	23	942	965	110	133	23	23	798	852	202	224	54	23	942	996	171	225	54	54	870	924	171	224	54	54
Paladin2	641	1151	0	720	15	13	679	1113	279	654	29	29	1010	1064	111	224	54	113	798	852	111	192	54	81	731	785	111	224	54	113	870	924	111	164	54	54	958	981	141	164	23	23	973	996	111	134	23	23	942	965	110	133	23	23	798	852	202	224	54	23	942	996	171	225	54	54	870	924	171	224	54	54
Barbarian2	641	1151	0	720	15	13	679	1113	279	654	29	29	1010	1064	111	224	54	113	798	852	111	192	54	81	731	785	111	224	54	113	870	924	111	164	54	54	958	981	141	164	23	23	973	996	111	134	23	23	942	965	110	133	23	23	798	852	202	224	54	23	942	996	171	225	54	54	870	924	171	224	54	54
Monster2	128	640	0	720	10	10	196	475	161	449	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Trade Page 1-2	128	640	0	360	15	7	168	600	76	278	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Trade Page 2-2	128	640	361	720	15	7	168	600	444	646	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Bank Page2	80	401	280	502	6	4	154	324	333	446	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Transmogrify Box2	128	640	0	720	10	8	241	530	141	371	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Guild Vault Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Trophy Case Page2	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Big Bank Page2	128	640	0	720	16	16	153	617	125	589	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1
Hireling2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	493	547	110	224	54	114	281	335	110	191	54	81	214	268	110	224	54	114	353	407	111	163	54	54	441	464	141	164	23	23	456	479	110	133	23	23	425	448	110	133	23	23	281	335	200	223	54	23	425	479	170	224	54	54	353	407	170	224	54	54
Druid2	641	1151	0	720	15	13	679	1113	279	654	29	29	1010	1064	111	224	54	113	798	852	111	192	54	81	731	785	111	224	54	113	870	924	111	164	54	54	958	981	141	164	23	23	973	996	111	134	23	23	942	965	110	133	23	23	798	852	202	224	54	23	942	996	171	225	54	54	870	924	171	224	54	54
Assassin2	641	1151	0	720	15	13	679	1113	279	654	29	29	1010	1064	111	224	54	113	798	852	111	192	54	81	731	785	111	224	54	113	870	924	111	164	54	54	958	981	141	164	23	23	973	996	111	134	23	23	942	965	110	133	23	23	798	852	202	224	54	23	942	996	171	225	54	54	870	924	171	224	54	54
