Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	1	2	5
1	6	92	147	6	108	173	8	108	216	8	108	216	7	107	830	7	107	1107	2	3	4	2	3	4	30	156	585	30	156	585
2	12	102	162	12	120	190	12	126	254	12	126	254	9	113	852	9	113	1136	3	4	6	3	4	6	40	208	780	40	208	780
3	18	112	177	18	132	208	18	144	292	18	144	292	12	120	875	12	120	1167	3	4	6	3	4	6	50	262	985	50	262	985
4	24	122	192	24	144	226	26	162	330	26	162	330	15	125	897	15	125	1196	4	5	7	4	5	7	60	312	1170	60	312	1170
5	30	133	207	30	156	243	35	180	368	35	180	368	17	132	920	17	132	1227	4	5	7	4	5	7	70	364	1365	70	364	1365
6	36	143	222	36	168	261	45	198	406	45	198	406	20	139	942	20	139	1256	5	7	9	5	7	9	80	414	1555	80	414	1555
7	42	153	236	42	180	278	56	216	444	56	216	444	23	145	965	23	145	1287	5	7	9	5	7	9	90	468	1755	90	468	1755
8	48	163	252	48	192	296	67	234	482	67	234	482	27	152	987	27	152	1316	6	8	11	6	8	11	100	520	1950	100	520	1950
9	54	173	267	54	204	314	78	252	520	78	252	520	31	157	1010	31	157	1347	7	9	13	7	9	13	110	570	2140	110	570	2140
10	60	184	281	60	216	331	89	270	558	89	270	558	35	164	1032	35	164	1376	7	9	13	7	9	13	120	624	2340	120	624	2340
11	66	194	297	66	228	349	100	288	596	100	288	596	36	171	1055	36	171	1407	8	11	15	8	11	15	130	676	2535	130	676	2535
12	72	204	311	72	240	366	111	306	634	111	306	634	40	177	1077	40	177	1436	8	11	15	8	11	15	140	726	2725	140	726	2725
13	78	214	326	78	252	384	122	324	672	122	324	672	44	184	1100	44	184	1467	9	12	17	9	12	17	154	802	3010	154	802	3010
14	84	224	342	84	264	402	133	342	710	133	342	710	48	189	1122	48	189	1496	10	13	19	10	13	19	169	880	3300	169	880	3300
15	90	235	356	90	276	419	144	360	748	144	360	748	52	196	1145	52	196	1527	10	13	19	10	13	19	186	964	3615	186	964	3615
16	96	245	371	96	288	437	155	378	786	155	378	786	56	203	1167	56	203	1556	11	15	20	11	15	20	205	1066	4000	205	1066	4000
17	102	255	386	102	300	454	166	396	824	166	396	824	60	209	1190	60	209	1587	11	15	20	11	15	20	225	1168	4380	225	1168	4380
18	108	265	401	108	312	472	177	414	862	177	414	862	64	216	1212	64	216	1616	12	16	22	12	16	22	248	1288	4830	248	1288	4830
19	114	275	417	114	324	490	188	432	900	188	432	900	68	221	1235	68	221	1647	13	17	24	13	17	24	273	1416	5310	273	1416	5310
20	120	286	431	120	336	507	199	450	938	199	450	938	73	228	1257	73	228	1676	13	17	24	13	17	24	300	1558	5845	300	1558	5845
21	126	296	446	126	348	525	210	468	976	210	468	976	78	236	1280	78	236	1707	14	19	26	14	19	26	330	1714	6430	330	1714	6430
22	132	306	461	132	360	542	221	486	1014	221	486	1014	84	243	1302	84	243	1736	14	19	26	14	19	26	363	1884	7065	363	1884	7065
23	138	316	476	138	372	560	232	504	1052	232	504	1052	89	248	1325	89	248	1767	15	20	28	15	20	28	399	2070	7765	399	2070	7765
24	144	326	491	144	384	578	243	522	1090	243	522	1090	94	255	1347	94	255	1796	16	21	30	16	21	30	439	2278	8545	439	2278	8545
25	150	337	506	150	396	595	254	540	1128	254	540	1128	100	261	1370	100	261	1827	16	21	30	16	21	30	470	2440	9150	470	2440	9150
26	156	347	521	156	408	613	265	558	1166	265	558	1166	106	268	1392	106	268	1856	17	23	31	17	23	31	503	2610	9790	503	2610	9790
27	162	357	536	162	420	630	276	576	1204	276	576	1204	113	275	1415	113	275	1887	17	23	31	17	23	31	538	2794	10480	538	2794	10480
28	168	367	551	168	432	648	287	594	1242	287	594	1242	120	280	1437	120	280	1916	18	24	33	18	24	33	576	2988	11205	576	2988	11205
29	174	377	566	174	444	666	298	612	1280	298	612	1280	126	287	1460	126	287	1947	19	25	35	19	25	35	616	3196	11985	616	3196	11985
30	180	388	581	180	456	683	309	630	1318	309	630	1318	134	320	1482	134	320	1976	19	25	35	19	25	35	659	3418	12820	659	3418	12820
31	186	398	596	186	468	701	320	648	1356	320	648	1356	142	355	1505	142	355	2007	20	27	37	20	27	37	706	3664	13740	706	3664	13740
32	192	408	610	192	480	718	331	666	1394	331	666	1394	150	388	1527	150	388	2036	20	27	37	20	27	37	755	3916	14685	755	3916	14685
33	198	418	626	198	492	736	342	684	1432	342	684	1432	158	423	1550	158	423	2067	21	28	39	21	28	39	808	4194	15730	808	4194	15730
34	204	428	641	204	504	754	353	702	1470	353	702	1470	166	456	1572	166	456	2096	22	29	41	22	29	41	864	4482	16810	864	4482	16810
35	210	439	655	210	516	771	364	720	1508	364	720	1508	174	491	1595	174	491	2127	22	29	41	22	29	41	925	4798	17995	925	4798	17995
36	216	449	671	216	528	789	375	738	1546	375	738	1546	182	525	1617	182	525	2156	23	31	43	23	31	43	990	5136	19260	990	5136	19260
37	222	459	685	222	540	806	386	756	1584	386	756	1584	190	559	1640	190	559	2187	23	31	43	23	31	43	1059	5490	20590	1059	5490	20590
38	228	469	700	228	552	824	397	774	1622	397	774	1622	198	593	1662	198	593	2216	24	32	44	24	32	44	1133	5878	22045	1133	5878	22045
39	234	479	716	234	564	842	408	792	1660	408	792	1660	206	627	1685	206	627	2247	25	33	46	25	33	46	1212	6288	23580	1212	6288	23580
40	240	490	730	240	576	859	419	810	1698	419	810	1698	215	661	1707	215	661	2276	25	33	46	25	33	46	1297	6730	25240	1297	6730	25240
41	246	500	745	246	588	877	430	828	1736	430	828	1736	225	696	1730	225	696	2307	26	35	48	26	35	48	1388	7200	27000	1388	7200	27000
42	252	510	760	252	600	894	441	846	1774	441	846	1774	234	729	1752	234	729	2336	26	35	48	26	35	48	1485	7704	28890	1485	7704	28890
43	258	520	775	258	612	912	452	864	1812	452	864	1812	243	764	1775	243	764	2367	27	36	50	27	36	50	1589	8242	30910	1589	8242	30910
44	264	530	791	264	624	930	463	882	1850	463	882	1850	253	797	1797	253	797	2396	28	37	52	28	37	52	1693	8818	33070	1693	8818	33070
45	270	541	805	270	636	947	474	900	1888	474	900	1888	262	832	1820	262	832	2427	28	37	52	28	37	52	1797	9436	35385	1797	9436	35385
46	276	551	820	276	648	965	485	918	1926	485	918	1926	271	867	1842	271	867	2456	29	39	54	29	39	54	1901	10102	37885	1901	10102	37885
47	282	561	835	282	660	982	496	936	1964	496	936	1964	281	900	1865	281	900	2487	29	39	54	29	39	54	2005	10804	40515	2005	10804	40515
48	288	571	850	288	672	1000	507	954	2002	507	954	2002	290	935	1887	290	935	2516	30	40	56	30	40	56	2109	11566	43375	2109	11566	43375
49	294	581	865	294	684	1018	518	972	2040	518	972	2040	299	968	1910	299	968	2547	31	41	57	31	41	57	2213	12372	46395	2213	12372	46395
50	300	592	880	300	696	1035	529	990	2078	529	990	2078	310	1003	1932	310	1003	2576	31	41	57	31	41	57	2317	13236	49635	2317	13236	49635
51	306	602	895	306	708	1053	540	1008	2116	540	1008	2116	321	1037	1955	321	1037	2607	32	43	59	32	43	59	2421	14160	53100	2421	14160	53100
52	312	612	910	312	720	1070	551	1026	2154	551	1026	2154	331	1071	1977	331	1071	2636	32	43	59	32	43	59	2525	15012	56295	2525	15012	56295
53	318	622	925	318	732	1088	562	1044	2192	562	1044	2192	342	1105	2000	342	1105	2667	33	44	61	33	44	61	2629	15912	59670	2629	15912	59670
54	324	632	940	324	744	1106	573	1062	2230	573	1062	2230	352	1139	2030	352	1139	2707	34	45	63	34	45	63	2733	16870	63265	2733	16870	63265
55	330	643	955	330	756	1123	584	1080	2268	584	1080	2268	363	1173	2075	363	1173	2767	34	45	63	34	45	63	2837	17884	67065	2837	17884	67065
56	336	653	970	336	768	1141	595	1098	2306	595	1098	2306	374	1208	2135	374	1208	2847	35	47	65	35	47	65	2941	18954	71080	2941	18954	71080
57	342	663	984	342	780	1158	606	1116	2344	606	1116	2344	384	1241	2222	384	1241	2962	35	47	65	35	47	65	3045	20088	75330	3045	20088	75330
58	348	673	1000	348	792	1176	617	1134	2382	617	1134	2382	395	1276	2308	395	1276	3077	36	48	67	36	48	67	3149	21294	79855	3149	21294	79855
59	354	683	1015	354	804	1194	628	1152	2420	628	1152	2420	406	1309	2394	406	1309	3192	37	49	68	37	49	68	3253	22572	84645	3253	22572	84645
60	360	694	1029	360	816	1211	639	1170	2458	639	1170	2458	418	1344	2480	418	1344	3307	37	49	68	37	49	68	3357	23928	89730	3357	23928	89730
61	366	704	1045	366	828	1229	650	1188	2496	650	1188	2496	430	1379	2567	430	1379	3422	38	51	70	38	51	70	3461	25360	95100	3461	25360	95100
62	372	714	1059	372	840	1246	661	1206	2534	661	1206	2534	442	1412	2653	442	1412	3537	38	51	70	38	51	70	3565	26884	100815	3565	26884	100815
63	378	724	1074	378	852	1264	672	1224	2572	672	1224	2572	454	1447	2739	454	1447	3652	39	52	72	39	52	72	3669	28498	106870	3669	28498	106870
64	384	734	1090	384	864	1282	683	1242	2610	683	1242	2610	466	1480	2825	466	1480	3767	39	52	72	39	52	72	3773	30208	113280	3773	30208	113280
65	390	745	1104	390	876	1299	694	1260	2648	694	1260	2648	477	1515	2912	477	1515	3882	40	53	74	40	53	74	3877	32020	120075	3877	32020	120075
66	396	755	1119	396	888	1317	705	1278	2686	705	1278	2686	489	1549	2998	489	1549	3997	41	55	76	41	55	76	3981	33832	126870	3981	33832	126870
67	402	765	1134	402	900	1334	716	1296	2724	716	1296	2724	501	1583	3084	501	1583	4112	41	55	76	41	55	76	4085	35644	133665	4085	35644	133665
68	408	775	1149	408	912	1352	727	1314	2762	727	1314	2762	513	1617	3170	513	1617	4227	42	56	78	42	56	78	4189	37456	140460	4189	37456	140460
69	414	785	1165	414	924	1370	738	1332	2800	738	1332	2800	525	1651	3257	525	1651	4342	43	57	80	43	57	80	4293	39268	147255	4293	39268	147255
70	420	796	1179	420	936	1387	749	1350	2838	749	1350	2838	539	1685	3343	539	1685	4457	43	57	80	43	57	80	4397	41080	154050	4397	41080	154050
71	426	806	1194	426	948	1405	760	1368	2876	760	1368	2876	552	1720	3429	552	1720	4572	44	59	81	44	59	81	4501	42892	160845	4501	42892	160845
72	432	816	1209	432	960	1422	771	1386	2914	771	1386	2914	565	1753	3515	565	1753	4687	44	59	81	44	59	81	4605	44704	167640	4605	44704	167640
73	438	826	1224	438	972	1440	782	1404	2952	782	1404	2952	579	1788	3602	579	1788	4802	45	60	83	45	60	83	4709	46516	174435	4709	46516	174435
74	444	836	1239	444	984	1458	793	1422	2990	793	1422	2990	592	1821	3688	592	1821	4917	46	61	85	46	61	85	4813	48328	181230	4813	48328	181230
75	450	847	1254	450	996	1475	804	1440	3028	804	1440	3028	605	1856	3774	605	1856	5032	46	61	85	46	61	85	4917	50140	188025	4917	50140	188025
76	456	857	1269	456	1008	1493	815	1458	3066	815	1458	3066	618	1891	3860	618	1891	5147	47	63	87	47	63	87	5021	51952	194820	5021	51952	194820
77	462	867	1284	462	1020	1510	826	1476	3104	826	1476	3104	632	1924	3947	632	1924	5262	47	63	87	47	63	87	5125	53764	201615	5125	53764	201615
78	468	877	1299	468	1032	1528	837	1494	3142	837	1494	3142	645	1959	4033	645	1959	5377	48	64	89	48	64	89	5229	55576	208410	5229	55576	208410
79	474	887	1314	474	1044	1546	848	1512	3180	848	1512	3180	658	1992	4119	658	1992	5492	49	65	91	49	65	91	5333	57388	215205	5333	57388	215205
80	480	898	1329	480	1056	1563	859	1530	3218	859	1530	3218	673	2027	4205	673	2027	5607	49	65	91	49	65	91	5437	59200	222000	5437	59200	222000
81	486	908	1344	486	1068	1581	870	1548	3256	870	1548	3256	688	2061	4292	688	2061	5722	50	67	93	50	67	93	5541	61012	228795	5541	61012	228795
82	492	918	1358	492	1080	1598	881	1566	3294	881	1566	3294	702	2095	4378	702	2095	5837	50	67	93	50	67	93	5645	62824	235590	5645	62824	235590
83	498	928	1374	498	1092	1616	892	1584	3332	892	1584	3332	717	2129	4464	717	2129	5952	51	68	94	51	68	94	5749	64636	242385	5749	64636	242385
84	504	938	1389	504	1104	1634	903	1602	3370	903	1602	3370	732	2163	4550	732	2163	6067	51	68	94	51	68	94	5853	66448	249180	5853	66448	249180
85	510	949	1403	510	1116	1651	914	1620	3408	914	1620	3408	746	2197	4637	746	2197	6182	52	69	96	52	69	96	5957	68260	255975	5957	68260	255975
86	516	959	1419	516	1128	1669	925	1638	3446	925	1638	3446	761	2232	4723	761	2232	6297	53	70	98	53	70	98	6061	70072	262770	6061	70072	262770
87	522	969	1433	522	1140	1686	936	1656	3484	936	1656	3484	775	2265	4809	775	2265	6412	53	70	98	53	70	98	6165	71884	269565	6165	71884	269565
88	528	979	1448	528	1152	1704	947	1674	3522	947	1674	3522	790	2300	4895	790	2300	6527	54	72	100	54	72	100	6269	73696	276360	6269	73696	276360
89	534	989	1464	534	1164	1722	958	1692	3560	958	1692	3560	805	2333	4982	805	2333	6642	55	73	102	55	73	102	6373	75508	283155	6373	75508	283155
90	540	1000	1478	540	1176	1739	969	1710	3598	969	1710	3598	821	2368	5068	821	2368	6757	55	73	102	55	73	102	6477	77320	289950	6477	77320	289950
91	546	1010	1493	546	1188	1757	980	1728	3636	980	1728	3636	837	2403	5154	837	2403	6872	56	74	104	56	74	104	6581	79132	296745	6581	79132	296745
92	552	1020	1508	552	1200	1774	991	1746	3674	991	1746	3674	853	2436	5240	853	2436	6987	56	74	104	56	74	104	6685	80944	303540	6685	80944	303540
93	558	1030	1523	558	1212	1792	1002	1764	3712	1002	1764	3712	868	2471	5327	868	2471	7102	57	76	105	57	76	105	6789	82756	310335	6789	82756	310335
94	564	1040	1539	564	1224	1810	1013	1782	3750	1013	1782	3750	884	2504	5413	884	2504	7217	58	77	107	58	77	107	6893	84568	317130	6893	84568	317130
95	570	1051	1553	570	1236	1827	1024	1800	3788	1024	1800	3788	900	2539	5499	900	2539	7332	58	77	107	58	77	107	6997	86380	323925	6997	86380	323925
96	576	1061	1568	576	1248	1845	1035	1818	3826	1035	1818	3826	916	2573	5585	916	2573	7447	59	78	109	59	78	109	7101	88192	330720	7101	88192	330720
97	582	1071	1583	582	1260	1862	1046	1836	3864	1046	1836	3864	932	2607	5672	932	2607	7562	59	78	109	59	78	109	7205	90004	337515	7205	90004	337515
98	588	1081	1598	588	1272	1880	1057	1854	3902	1057	1854	3902	948	2641	5758	948	2641	7677	60	80	111	60	80	111	7309	91816	344310	7309	91816	344310
99	594	1091	1613	594	1284	1898	1068	1872	3940	1068	1872	3940	964	2675	5844	964	2675	7792	60	80	111	60	80	111	7413	93628	351105	7413	93628	351105
100	600	1102	1628	600	1296	1915	1079	1890	3978	1079	1890	3978	982	2709	5930	982	2709	7907	61	81	113	61	81	113	7517	95440	357900	7517	95440	357900
101	606	1112	1643	606	1308	1933	1090	1908	4016	1090	1908	4016	999	2744	6017	999	2744	8022	62	82	115	62	82	115	7621	97252	364695	7621	97252	364695
102	612	1122	1658	612	1320	1950	1101	1926	4054	1101	1926	4054	1016	2777	6103	1016	2777	8137	62	82	115	62	82	115	7725	99064	371490	7725	99064	371490
103	618	1132	1673	618	1332	1968	1112	1944	4092	1112	1944	4092	1033	2812	6189	1033	2812	8252	63	84	117	63	84	117	7829	100876	378285	7829	100876	378285
104	624	1142	1688	624	1344	1986	1123	1962	4130	1123	1962	4130	1051	2845	6275	1051	2845	8367	63	84	117	63	84	117	7933	102688	385080	7933	102688	385080
105	630	1153	1703	630	1356	2003	1134	1980	4168	1134	1980	4168	1068	2880	6362	1068	2880	8482	64	85	118	64	85	118	8037	104500	391875	8037	104500	391875
106	636	1163	1718	636	1368	2021	1145	1998	4206	1145	1998	4206	1085	2915	6448	1085	2915	8597	65	86	120	65	86	120	8141	106312	398670	8141	106312	398670
107	642	1173	1732	642	1380	2038	1156	2016	4244	1156	2016	4244	1103	2948	6534	1103	2948	8712	65	86	120	65	86	120	8245	108124	405465	8245	108124	405465
108	648	1183	1748	648	1392	2056	1167	2034	4282	1167	2034	4282	1120	2983	6620	1120	2983	8827	66	88	122	66	88	122	8349	109936	412260	8349	109936	412260
109	654	1193	1763	654	1404	2074	1178	2052	4320	1178	2052	4320	1137	3016	6707	1137	3016	8942	67	89	124	67	89	124	8453	111748	419055	8453	111748	419055
110	660	1203	1775	660	1412	2084	1184	2060	4330	1184	2060	4330	1143	3024	6717	1143	3024	8952	68	90	126	68	90	126	8568	112784	420305	8568	112784	420305
111	666	1213	1787	666	1420	2094	1190	2068	4340	1190	2068	4340	1149	3032	6727	1149	3032	8962	69	91	128	69	91	128	8683	113820	421555	8683	113820	421555
112	672	1223	1799	672	1428	2104	1196	2076	4350	1196	2076	4350	1155	3040	6737	1155	3040	8972	70	92	130	70	92	130	8798	114856	422805	8798	114856	422805
113	678	1233	1811	678	1436	2114	1202	2084	4360	1202	2084	4360	1161	3048	6747	1161	3048	8982	71	93	132	71	93	132	8913	115892	424055	8913	115892	424055
114	684	1243	1823	684	1444	2124	1208	2092	4370	1208	2092	4370	1167	3056	6757	1167	3056	8992	72	94	134	72	94	134	9028	116928	425305	9028	116928	425305
115	690	1253	1835	690	1452	2134	1214	2100	4380	1214	2100	4380	1173	3064	6767	1173	3064	9002	73	95	136	73	95	136	9143	117964	426555	9143	117964	426555
116	696	1263	1847	696	1460	2144	1220	2108	4390	1220	2108	4390	1179	3072	6777	1179	3072	9012	74	96	138	74	96	138	9258	119000	427805	9258	119000	427805
117	702	1273	1859	702	1468	2154	1226	2116	4400	1226	2116	4400	1185	3080	6787	1185	3080	9022	75	97	140	75	97	140	9373	120036	429055	9373	120036	429055
118	708	1283	1871	708	1476	2164	1232	2124	4410	1232	2124	4410	1191	3088	6797	1191	3088	9032	76	98	142	76	98	142	9488	121072	430305	9488	121072	430305
119	714	1293	1883	714	1484	2174	1238	2132	4420	1238	2132	4420	1197	3096	6807	1197	3096	9042	77	99	144	77	99	144	9603	122108	431555	9603	122108	431555
120	720	1303	1895	720	1492	2184	1244	2140	4430	1244	2140	4430	1203	3104	6817	1203	3104	9052	78	100	146	78	100	146	9718	123144	432805	9718	123144	432805
121	726	1313	1907	726	1500	2194	1250	2148	4440	1250	2148	4440	1209	3112	6827	1209	3112	9062	79	101	148	79	101	148	9833	124180	434055	9833	124180	434055
122	732	1323	1919	732	1508	2204	1256	2156	4450	1256	2156	4450	1215	3120	6837	1215	3120	9072	80	102	150	80	102	150	9948	125216	435305	9948	125216	435305
123	738	1333	1931	738	1516	2214	1262	2164	4460	1262	2164	4460	1221	3128	6847	1221	3128	9082	81	103	152	81	103	152	10063	126252	436555	10063	126252	436555
124	744	1343	1943	744	1524	2224	1268	2172	4470	1268	2172	4470	1227	3136	6857	1227	3136	9092	82	104	154	82	104	154	10178	127288	437805	10178	127288	437805
125	750	1353	1955	750	1532	2234	1274	2180	4480	1274	2180	4480	1233	3144	6867	1233	3144	9102	83	105	156	83	105	156	10293	128324	439055	10293	128324	439055
126	756	1363	1967	756	1540	2244	1280	2188	4490	1280	2188	4490	1239	3152	6877	1239	3152	9112	84	106	158	84	106	158	10408	129360	440305	10408	129360	440305
127	762	1373	1979	762	1548	2254	1286	2196	4500	1286	2196	4500	1245	3160	6887	1245	3160	9122	85	107	160	85	107	160	10523	130396	441555	10523	130396	441555
128	768	1383	1991	768	1556	2264	1292	2204	4510	1292	2204	4510	1251	3168	6897	1251	3168	9132	86	108	162	86	108	162	10638	131432	442805	10638	131432	442805
129	774	1393	2003	774	1564	2274	1298	2212	4520	1298	2212	4520	1257	3176	6907	1257	3176	9142	87	109	164	87	109	164	10753	132468	444055	10753	132468	444055
130	780	1403	2015	780	1572	2284	1304	2220	4530	1304	2220	4530	1263	3184	6917	1263	3184	9152	88	110	166	88	110	166	10868	133504	445305	10868	133504	445305
131	786	1413	2027	786	1580	2294	1310	2228	4540	1310	2228	4540	1269	3192	6927	1269	3192	9162	89	111	168	89	111	168	10983	134540	446555	10983	134540	446555
132	792	1423	2039	792	1588	2304	1316	2236	4550	1316	2236	4550	1275	3200	6937	1275	3200	9172	90	112	170	90	112	170	11098	135576	447805	11098	135576	447805
133	798	1433	2051	798	1596	2314	1322	2244	4560	1322	2244	4560	1281	3208	6947	1281	3208	9182	91	113	172	91	113	172	11213	136612	449055	11213	136612	449055
134	804	1443	2063	804	1604	2324	1328	2252	4570	1328	2252	4570	1287	3216	6957	1287	3216	9192	92	114	174	92	114	174	11328	137648	450305	11328	137648	450305
135	810	1453	2075	810	1612	2334	1334	2260	4580	1334	2260	4580	1293	3224	6967	1293	3224	9202	93	115	176	93	115	176	11443	138684	451555	11443	138684	451555
136	816	1463	2087	816	1620	2344	1340	2268	4590	1340	2268	4590	1299	3232	6977	1299	3232	9212	94	116	178	94	116	178	11558	139720	452805	11558	139720	452805
137	822	1473	2099	822	1628	2354	1346	2276	4600	1346	2276	4600	1305	3240	6987	1305	3240	9222	95	117	180	95	117	180	11673	140756	454055	11673	140756	454055
138	828	1483	2111	828	1636	2364	1352	2284	4610	1352	2284	4610	1311	3248	6997	1311	3248	9232	96	118	182	96	118	182	11788	141792	455305	11788	141792	455305
139	834	1493	2123	834	1644	2374	1358	2292	4620	1358	2292	4620	1317	3256	7007	1317	3256	9242	97	119	184	97	119	184	11903	142828	456555	11903	142828	456555
140	840	1503	2135	840	1652	2384	1364	2300	4630	1364	2300	4630	1323	3264	7017	1323	3264	9252	98	120	186	98	120	186	12018	143864	457805	12018	143864	457805
141	846	1513	2147	846	1660	2394	1370	2308	4640	1370	2308	4640	1329	3272	7027	1329	3272	9262	99	121	188	99	121	188	12133	144900	459055	12133	144900	459055
