Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	minHP(N)	maxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	minHP(H)	maxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
skeleton1	0	skeleton1	skeleton2	0	Skeleton	skeleton1	imp	UndeadHuman	Skeleton	Human	SK	1													1	3		4	4	2	14	51	71	skeleton	skeleton	10	15	12	9	40	40	40	60	65	70	10	8	6	75	80	85	75	75	75																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-33	-25	-10							33	25		50		75	40	33		80		99	2				15	15	15	5	190	291	84	86	52	102	103	62	102	103				182	182	100	110	52	102	103	62	102	103				242	242	100	110	52	102	103	62	102	103																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
skeleton2	1	skeleton1	skeleton3	1	Returned	skeleton2	imp	UndeadHuman	Skeleton	Human	SK	1													2	3		5	5	2	7	52	72	skeleton	skeleton	10	15	12	9	40	40	40	70	75	80	9	6	5	80	85	90	33	33	33																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-33	-25	-10							33	25		50		75	40	33		80		99	2				15	15	15	5	118	142	84	86	52	102	103	62	102	103				182	182	100	110	52	102	103	62	102	103				242	242	100	110	52	102	103	62	102	103																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
skeleton3	2	skeleton1	skeleton4	2	BoneWarrior	skeleton3	imp	UndeadHuman	Skeleton	Human	SK	1													2	4		6	6	2	10	53	73	skeleton	skeleton	10	15	12	9	40	40	40	80	85	90	8	5	4	85	90	95	50	50	50																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-33	-25	-10							33	25			80	75	40	33			100	99	2				20	20	20	5	120	144	84	86	60	120	104	71	121	104				184	184	100	110	60	120	104	71	121	104				244	244	100	110	60	120	104	71	121	104																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
skeleton4	3	skeleton1	skeleton5	3	BurningDead	skeleton4		UndeadHuman	Skeleton	Human	SK	1													2	4		7	7	2	31	55	75	skeleton	skeleton	10	15	12	9	40	40	40	90	95	95	6	4	3	90	95	99	66	66	66																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-33	-25	-10							33	25	80			75	40	33	100			99	2				25	25	25	5	122	146	84	86	53	103	105	63	103	105				186	186	100	110	53	103	105	63	103	105				246	246	100	110	53	103	105	63	103	105				A1	fire	50	22	55		50	25	55		50	25	55																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
skeleton5	4	skeleton1	skeleton6	4	Horror	skeleton5		UndeadHuman	Skeleton	Human	SK	1													3	4		8	8	2	29	56	76	skeleton	skeleton	10	15	12	9	40	40	40	99	99	99	4	3	2	95	99	99	33	33	33																						1	1					1				1			1	1							1		SkeletonRaise	seq_skeletonraise	1																									-33	-25	-10							33	33		80		80	40	50		100		104	2				30	30	30	5	148	148	84	86	54	104	106	64	104	106				188	188	100	110	54	104	106	64	104	106				248	248	100	110	54	104	106	64	104	106				A2	ltng	60	30	60		60	30	50		60	30	50																														Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
zombie1	5	zombie1	zombie2	0	Zombie	zombie1		Undead	Zombie		ZM	1													1	3		1	4	2	4	50	70	zombie	zombieunique	10	15	12	9	40	40	40	40	50	60	15	20	25				25	30	35																						1	1					1							1	1							1																													-50	-25	-10												75						99	2				3	3	3	5	160	190	47	25	50	150	120	100	150	120				230	230	80	130	51	151	120	101	151	120				290	290	80	130	51	151	120	101	151	120																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
zombie2	6	zombie1	zombie3	1	HungryDead	zombie2		Undead	Zombie		ZM	1													2	3		1	5	2	13	51	71	zombie	zombieunique	10	15	12	9	40	40	40	50	60	70	20	25	30				30	35	40																						1	1					1							1	1							1																													-40	-25	-10												75						99	2				4	4	4	5	162	192	84	111	52	152	110	102	152	110				232	232	80	130	52	152	110	102	152	110				292	292	80	130	52	152	110	102	152	110																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
zombie3	7	zombie1	zombie4	2	Ghoul	zombie3		Undead	Zombie		ZM	1													2	4		1	6	2	15	55	75	zombie	zombieunique	10	15	12	9	40	40	40	60	70	80	25	25	30				35	40	45																						1	1					1							1	1							1																													-33	-25	-10							25			50	50	75	33			80	80	99	2				13	13	13	5	164	194	84	111	53	153	110	113	163	110				234	234	80	130	53	153	110	113	163	110				294	294	80	130	53	153	110	113	163	110																																														Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
zombie4	8	zombie1	zombie5	3	DrownedCarcass	zombie4		Undead	Zombie		ZM	1													3	4		1	8	2	27	60	80	zombie	zombieunique	10	15	12	9	40	40	40	100	100	100	30	30	30				45	50	55																						1	1					1							1	1							1																													-33	-25	-10							33		70			75	40		100			99	2				22	22	22	5	198	198	85	111	55	155	105	117	167	105				238	238	80	130	55	155	105	117	167	105				298	298	80	130	55	155	105	117	167	105				A1	cold	75	21	42	25	75	20	40	75	75	20	40	100																													Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
zombie5	9	zombie1	zombie6	4	PlagueBearer	zombie5		Undead	Zombie		ZM	1													3	4		1	7	2	32	58	78	zombie	zombieunique	10	15	12	9	40	40	40	80	85	90	25	30	30				40	45	50																						1	1					1							1	1							1																													-33	-25	-10							33	66			80	80	40	75			100	104	2				17	17	17	5	166	196	84	111	54	154	120	115	165	120				236	236	80	130	54	154	120	115	165	120				296	296	80	130	54	154	120	115	165	120				A1	pois	50	27	54	400	50	25	25	400	50	25	25	400																													Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
