skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
attack	0	0	0	0	0	2	skillname0	skillsd0	skillld0	skillan0		1												2																																																																																									0
kick	0	0	0	-1	0	0	skillname1	skillsd1	skillld1	skillan1		2																																																																																																					0
throw	0	0	0	0	0	6	skillname2	skillsd2	skillld2	skillan2		3												3																																																																																									0
unsummon	0	0	0	0	0	4	skillname3	skillsd3	skillld3	skillan3																																																																																																							0
left hand throw	0	0	0	0	0	12	skillname4	skillsd4	skillld4	skillan4		4												4																																																																																									0
left hand swing	0	0	0	-1	0	10	skillname5	skillsd5	skillld5	skillan5																																																																																																							0
magic arrow	1	1	2	1	0	0	skillname6	skillsd6	skillld6	skillan6	StrSkill3	5												1				1			10		11					10					9					8					66	Convphy2elemalt		1+(lvl-1)*1																																																									0
fire arrow	1	1	3	1	0	2	skillname7	skillsd7	skillxld7	skillan7	StrSkill3	5												1				1					11					10					9					8					66	Convphy2magalt		3+(lvl-1)*2																																																									0
inner sight	2	1	1	2	0	4	skillname8	skillsd8	skillld8	skillan8	StrSkill3																	1					19	StrSkill18		ln56		5	StrSkill25		60+blvl*ulvl		12	StrSkill20		ln34																																																																			0
critical strike	2	1	3	2	0	6	skillname9	skillsd9	critical3	skillan9	StrSkill3																	7	StrSkill24		(ulvl/5)+(blvl*8)		10	guided4																																																																															0
jab	3	1	1	3	0	8	skillname10	skillsd10	skillld10	skillan10	StrSkill3	7	ln34											1				1					2	StrSkill4	StrSkill23	ln34		2	StrSkill22	StrSkill23	toht																	25	StrSkill61																																																						0
cold arrow	1	2	1	1	0	10	skillname11	skillsd11	skillxld11	skillan11	StrSkill3	5												1				1					11					10					9					8					66	Convphy2magalt		3+(lvl-1)*2																																																									0
multiple shot	1	2	2	1	0	12	skillname12	skillsd12	multipleshot3	skillan12	StrSkill3	5												1				1					7	StrSkill9		min(24,ln12)																						73	WeapDamsk		3	4																																																			0
dodge	2	2	2	2	0	14	maneuvering	maneuvering2	maneuvering3	skillan13	StrSkill3																	7	mnvr		(blvl-2)*6+10		7	mvnr2		blvl*6+6		7	mnvr3		blvl*6+2																																																																								0
power strike	3	2	2	3	0	16	skillname14	skillsd14	skillld14	skillan14	StrSkill3	5												1				1					11					10					9					8																																																																	0
poison javelin	3	2	3	3	0	18	skillname15	skillsd15	skillld15	skillan15	StrSkill3	22												1				1					14																																																																																0
exploding arrow	1	3	3	1	0	20	skillname16	skillsd16	explodingarrow3	skillan16	StrSkill3	6												1				1					11					10					9					8																																																																	0
slow missiles	2	3	1	2	0	22	skillname17	skillsd17	skillld17	skillan17	StrSkill3																	1					19	StrSkill18		15		3	StrSkill67	StrSkill23	ln12		12	StrSkill20		ln34																																																																			0
avoid	2	3	2	2	0	24	skillname18	skillsd18	skillld18	skillan18	StrSkill3																	7	StrSkill24		dm12																																																																																		0
impale	3	3	1	3	0	26	skillname19	skillsd19	skillld19	skillan19	StrSkill3	7	ln12											1				1					3	StrSkill65	StrSkill23	par6-dm34		2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln12																																																																			0
lightning bolt	3	3	3	3	0	28	skillname20	skillsd20	skillld20	skillan20	StrSkill3	21																1					11					10					9					8										66	Convphy2magalt		100		73	WeapDamsk		3	4																																														0
ice arrow	1	4	1	1	0	30	skillname21	skillsd21	skillxld21	skillan21	StrSkill3	5												1				1					12	StrSkill62		edln		10					9					8																																																																	0
guided arrow	1	4	2	1	0	32	skillname22	skillsd22	guided3	skillan22	StrSkill3	7	ln34															1					2	StrSkill4	StrSkill23	blvl*5*(ulvl/10)		9	guided4																																																																										0
penetrate	2	4	3	2	0	34	skillname23	skillsd23	skillld23	skillan23	StrSkill3																	2	StrSkill10	StrSkill23	ln12																																																																																		0
charged strike	3	4	2	3	0	36	skillname24	skillsd24	skillld24	skillan24	StrSkill3	17																1					10					9					3	StrSkill72	StrSkill73	par1 + lvl/par2																																																																			0
plague javelin	3	4	3	3	0	38	skillname25	skillsd25	skillld25	skillan25	StrSkill3	22												1				1					14					2	StrSkill22	StrSkill23	toht																																																																								0
strafe	1	5	2	1	0	40	skillname26	skillsd26	strafe3	skillan26	StrSkill3	7	ln12											1				1					2	StrSkill4	StrSkill23	ln12		3	StrSkill86	StrSkill87	min(lvl+par3,par4)																																																																								0
immolation arrow	1	5	3	1	0	42	skillname27	skillsd27	skillxld27	skillan27	StrSkill3	6												1	immolationfire			1					22					23	StrSkill82				24	StrSkill83				2	StrSkill22	StrSkill23	toht																																																														0
dopplezon	2	5	1	2	0	44	skillname28	skillsd28	skillld28	skillan28	StrSkill3																	1					12	StrSkill20		ln12		2	StrSkill42	StrSkill23	lvl*par4																																																																								0
evade	2	5	2	2	0	46	skillname29	skillsd29	skillld29	skillan29	StrSkill3																	7	StrSkill24		dm12																																																																																		0
fend	3	5	1	3	0	48	skillname30	skillsd30	skillld30	skillan30	StrSkill3	7	ln34											1				1					2	StrSkill4	StrSkill23	ln34		2	StrSkill30	StrSkill23	toht																																																																								0
freezing arrow	1	6	1	1	0	50	skillname31	skillsd31	skillxld31	skillan31	StrSkill3	6												1				1					12	StrSkill62		edln		10					2	StrSkill22	StrSkill23	toht												19	StrSkill18		par1																																																				0
