index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
The Gnasher	0	1		1		7	5	hax	Hand Axe			5	5000	dyel		flpuni	invhaxu				str		8	8	openwounds		50	50	crush		20	20	dmg%		60	70																																	0
Deathspade	0	1		1		12	9	axe	Axe			5	5000	dgld		flpuni	invaxeu				stupidity		1	1	dmg-min		8	8	att%		15	15	mana-kill		4	4	dmg%		60	70																													0
Bladebone	0	1		1		20	15	2ax	Double Axe			5	5000	lgry	lgry	flpuni					dmg-undead		100	100	att-undead		40	40	swing2		20	20	ac		20	20	fire-min		8	8	fire-max		12	12	dmg%		30	50																					0
Mindrend	0	1		1		28	21	mpi	Military Pick			5	5000	lgrn		flpuni	invmpiu				stupidity		2	2	regen-mana		20	20	ltng-min		1	1	ltng-max		12	15	att		50	100	dmg%		60	100	openwounds		15	15																					0
Rakescar	0	1		1		36	27	wax	War Axe			5	5000	dgry	dgry	flpuni					pois-min		128	128	pois-max		128	128	pois-len		75	75	att		50	50	res-pois		50	50	dmg%		75	150	swing2		30	30																					0
Fechmars Axe	0	1		1		11	8	lax	Large Axe			5	5000	lpur	lpur	flpuni					dmg%		70	90	freeze		3	3	res-cold		50	50	light		2	2																																	0
Goreshovel	0	1		1		19	14	bax	Broad Axe			5	5000	dpur	dpur	flpuni					swing3		30	30	str		25	25	openwounds		60	60	dmg%		40	50	dmg-max		9	9																													0
The Chieftan	0	1		1		26	19	btx	Battle Axe			5	5000	oran		flpuni	invbtxu				dmg%		100	100	res-all		10	20	mana-kill		6	6	swing2		20	20	dmg-ltng		1	40																													0
Brainhew	0	1		1		34	25	gax	Great Axe			5	5000	whit		flpuni	invgaxu				dmg-min		14	14	mana		25	25	light		4	4	manasteal		10	13	dmg%		50	80	dmg-fire		15	35																									0
The Humongous	0	1		1		39	29	gix	Giant Axe			5	5000	blac	blac	flpuni					str		20	30	dmg-min		8	8	dmg-max		15	25	crush		33	33	ease		20	20	dmg%		80	120																									0
Iros Torch	0	1		1		7	5	wnd	Wand			5	5000	cred		flpuni	invwndu				nec		1	1	lifesteal		6	6	dmg-fire		5	9	light		3	3	enr		10	10	regen-mana		5	5																									0
Maelstromwrath	0	1		1		19	14	ywn	Yew Wand			5	5000	dblu	dblu	flpuni					ltng-min		1	1	ltng-max		9	9	res-ltng		40	40	mana		13	13	cast2		30	30	skill	74	1	3	skill	77	1	3	skill	66	1	3	skill	76	1	3													0
Gravenspine	0	1		1		27	20	bwn	Bone Wand			5	5000	cgrn		flpuni	invbwnu				str		10	10	dex		10	10	cold-min		4	4	cold-max		8	8	cold-len		75	75	manasteal		5	5	nec		2	2	mana		25	50																	0
Umes Lament	0	1		1		38	28	gwn	Grim Wand			5	5000	lblu	lblu	flpuni					nec		2	2	mana		40	40	cast2		20	20	howl		64	64	skill	77	3	3	skill	87	2	2																									0
Felloak	0	1		1		4	3	clb	Club			5	5000	lgry		flpuni	invclbu				res-ltng		60	60	res-fire		20	20	knock		1	1	fire-min		6	6	fire-max		8	8	dmg%		70	80																									0
Knell Striker	0	1		1		7	5	scp	Scepter			5	5000	dred	dred	flpuni					crush		25	25	res-fire		20	20	res-pois		20	20	mana		15	15	att		35	35	dmg%		70	80																									0
Rusthandle	0	1		1		23	17	gsc	Grand Scepter			5	5000	lgld	lgld	flpuni					pal		1	1	dmg-norm		3	7	red-mag		1	1	lifesteal		8	8	dmg%		50	60	dmg-undead		50	60	skill	111	1	3	skill	103	3	3																	0
Stormeye	0	1		1		31	23	wsp	War Scepter			5	5000	cred	cred	flpuni					dmg-ltng		1	6	dmg-cold	75	3	5	regen		10	10	dmg%		80	120	skill	110	3	5	skill	118	3	3	skill	121	1	1																					0
Stoutnail	0	1		1		7	5	spc	Spiked Club			5	5000	dgry		flpuni	invspcu				thorns		3	10	dmg%		100	100	vit		7	7	red-mag		2	2																																	0
Crushflange	0	1		1		12	9	mac	Mace			5	5000	blac	blac	flpuni					str		15	15	knock		1	1	light		2	2	res-fire		50	50	dmg%		50	60	crush		33	33																									0
Bloodrise	0	1		1		20	15	mst	Morning Star			5	5000	lblu		flpuni	invmstu				dmg%		120	120	att%		50	50	openwounds		25	25	light		2	2	swing1		10	10	skill	96	3	3	lifesteal		5	5																					0
The Generals Tan Do Li Ga	0	1		1		28	21	fla	Flail			5	5000	dblu	dblu	flpuni					dmg-min		1	1	dmg-max		20	20	slow		50	50	ac		25	25	manasteal		5	5	dmg%		50	60	swing2		20	20																					0
Ironstone	0	1		1		36	27	whm	War Hammer			5	5000	cblu	cblu	flpuni					att		100	150	dmg%		100	150	ltng-min		1	1	ltng-max		10	10	str		10	10	*enr		-5	-5																									0
Bonesob	0	1		1		32	24	mau	Maul			5	5000	lred		flpuni	invmauu				dmg%		200	300	crush		40	40	res-fire		30	30	res-cold		30	30	dmg-undead		50	50																													0
